id,area,latitude,longitude,crime_type,severity,date,time,time_of_day,target_group,gender,age,age_group,crime_count,police_station,status
1,Phaphamau,25.503,81.885,Kidnapping,5,19-12-2025,14:02,Afternoon,All,Male,38,Adult,1,Phaphamau PS,Reported
2,Daraganj,25.428,81.889,Kidnapping,4,22-01-2025,16:09,Afternoon,All,Female,60,Adult,3,Daraganj PS,Closed
3,George Town,25.4421,81.8329,Chain Snatching,4,23-05-2025,13:44,Afternoon,Women,Female,32,Adult,1,George Town PS,Under Investigation
4,Kareli,25.418,81.815,Kidnapping,5,22-12-2025,05:54,Night,Women,Male,52,Adult,2,Kareli PS,Unreported
5,Katra,25.4358,81.8463,Chain Snatching,2,14-04-2025,19:19,Evening,Children,Female,15,Teen,2,Katra PS,Reported
6,Katra,25.4358,81.8463,Theft,2,19-02-2025,11:48,Morning,Children,Female,58,Adult,3,Katra PS,Unreported
7,Katra,25.4358,81.8463,Chain Snatching,4,20-04-2025,12:46,Afternoon,Children,Male,35,Adult,2,Katra PS,Closed
8,Kareli,25.418,81.815,Assault,4,11-09-2025,16:09,Afternoon,Women,Female,59,Adult,3,Kareli PS,Closed
9,Lukerganj,25.444,81.828,Kidnapping,4,08-11-2025,00:09,Night,All,Female,53,Adult,3,Lukerganj PS,Closed
10,Katra,25.4358,81.8463,Harassment,4,20-06-2025,23:05,Night,Women,Female,66,Senior,3,Katra PS,Unreported
11,Daraganj,25.428,81.889,Assault,5,14-12-2025,18:18,Evening,Women,Male,10,Child,1,Daraganj PS,Under Investigation
12,Dhoomanganj,25.448,81.79,Robbery,5,24-10-2025,15:34,Afternoon,Children,Female,35,Adult,1,Dhoomanganj PS,Unreported
13,Daraganj,25.428,81.889,Assault,5,15-07-2025,08:36,Morning,All,Male,35,Adult,1,Daraganj PS,Unreported
14,Jhunsi,25.402,81.9,Chain Snatching,1,19-01-2025,10:42,Morning,All,Female,33,Adult,1,Jhunsi PS,Closed
15,Phaphamau,25.503,81.885,Assault,5,19-07-2025,07:43,Morning,Women,Female,65,Senior,1,Phaphamau PS,Reported
16,Meerapur,25.43,81.82,Theft,1,06-11-2025,22:29,Night,Children,Female,33,Adult,3,Meerapur PS,Unreported
17,George Town,25.4421,81.8329,Kidnapping,5,15-08-2025,23:08,Night,Children,Male,31,Adult,2,George Town PS,Closed
18,Kareli,25.418,81.815,Assault,4,11-07-2025,00:47,Night,Women,Female,47,Adult,2,Kareli PS,Under Investigation
19,Dhoomanganj,25.448,81.79,Robbery,4,05-01-2025,05:50,Night,Women,Male,40,Adult,2,Dhoomanganj PS,Reported
20,Meerapur,25.43,81.82,Assault,5,27-01-2025,00:21,Night,Women,Male,39,Adult,1,Meerapur PS,Closed
21,Meerapur,25.43,81.82,Assault,5,19-10-2025,00:28,Night,Children,Female,40,Adult,3,Meerapur PS,Reported
22,Meerapur,25.43,81.82,Harassment,4,28-02-2025,05:59,Night,All,Male,27,Adult,1,Meerapur PS,Reported
23,Civil Lines,25.45,81.84,Chain Snatching,3,25-05-2025,17:01,Evening,Children,Female,40,Adult,1,Civil Lines PS,Reported
24,Lukerganj,25.444,81.828,Chain Snatching,1,10-10-2025,11:40,Morning,Women,Male,8,Child,2,Lukerganj PS,Under Investigation
25,Daraganj,25.428,81.889,Kidnapping,4,16-12-2025,18:08,Evening,Women,Male,13,Teen,1,Daraganj PS,Under Investigation
26,Lukerganj,25.444,81.828,Assault,5,15-08-2025,13:59,Afternoon,Women,Male,66,Senior,2,Lukerganj PS,Under Investigation
27,Phaphamau,25.503,81.885,Harassment,4,14-06-2025,02:44,Night,Children,Male,59,Adult,1,Phaphamau PS,Closed
